INVENTORY_ID,REORDER_LEVEL,PRODUCT_ID,QUANTITY_IN_STOCK,WAREHOUSE_ID,RATING,STOCK_LEVEL,SALES_VOLUME,RESTOCK_DATE,WEIGHT,SUPPLIER_ID,DISCOUNTS,STORAGE_CONDITION,SAFETY_STOCK,INVENTORY_STATUS,AVERAGE_MONTHLY_DEMAND,LAST_AUDIT_DATE,LAST_RESTOCK_DATE,NEXT_RESTOCK_DATE
1,853,prod-00370,3098,25,"4,5498336471850700",3098,3275,2024-02-11,"21,93459722961820",83,"26,064000421987600",Ambient,347,backordered,800,2024-03-25 14:56:40.567 Z,2023-10-26,2024-05-09
2890,459,prod-00370,234,9,"3,0401306928136800",234,2641,2024-03-13,"38,40896771105390",100,"20,645172331607300",Frozen,496,backordered,579,2024-04-28 14:56:40.582 Z,2023-11-16,2024-04-14
5421,153,prod-00370,3054,19,"1,2535776168926600",3054,9559,2024-07-12,"15,869334164229500",68,"27,901627110127500",Frozen,449,in-stock,803,2024-08-10 14:56:40.601 Z,2024-02-04,2024-10-01
5428,449,prod-00370,3235,11,"4,549143258220520",3235,3130,2024-03-03,"7,0899035010440500",87,"21,44533577859860",Frozen,204,in-stock,690,2024-04-29 14:56:40.601 Z,2023-10-12,2024-04-20
6090,442,prod-00370,3414,28,"4,636673502273140",3414,6234,2024-10-27,"8,425355643659770",4,"23,488597649030600",Frozen,292,backordered,427,2024-08-03 14:56:40.607 Z,2024-05-19,2024-12-01
9422,157,prod-00370,4638,49,"2,465409344982430",4638,6171,2024-04-02,"14,482240327750900",26,"4,275107545039350",Frozen,334,in-stock,816,2024-06-30 14:56:40.637 Z,2023-11-30,2024-05-06
9930,539,prod-00370,758,20,"1,507207428924150",758,7102,2024-01-12,"2,9196977661222400",81,"22,609104518989700",Ambient,55,backordered,353,2024-08-05 14:56:40.642 Z,2023-10-25,2024-02-18
10038,524,prod-00370,2345,16,"4,133405889561580",2345,6002,2024-07-07,"30,51533676122960",45,"11,93720567799710",Frozen,163,backordered,587,2024-04-06 14:56:40.643 Z,2024-01-30,2024-09-25
11184,890,prod-00370,4384,6,"1,9395183832175500",4384,2143,2024-02-11,"8,883558561535940",98,"0,6230327876728850",Temperature Controlled,460,backordered,895,2024-07-29 14:56:40.652 Z,2023-11-09,2024-04-14
14213,678,prod-00370,2935,5,"1,0268205610645500",2935,2671,2024-01-31,"12,938304333170100",75,"25,458549472059200",Temperature Controlled,28,in-stock,792,2024-08-01 14:56:40.670 Z,2023-10-17,2024-03-13
16687,535,prod-00370,120,29,"1,3891290890706700",120,30,2024-04-06,"33,68837798035410",60,"3,9841075500899600",Ambient,205,backordered,646,2024-06-09 14:56:40.703 Z,2023-10-16,2024-06-29
2,238,prod-00662,649,46,"3,3533629252489000",649,5327,2024-02-25,"25,5940079978012",22,"13,418388417966900",Temperature Controlled,224,in-stock,770,2024-06-19 14:56:40.567 Z,2023-10-22,2024-04-11
107,988,prod-00662,253,40,"2,6864350958192800",253,1934,2024-07-17,"14,619301203411300",37,"15,379813064648600",Temperature Controlled,398,in-stock,922,2024-03-10 14:56:40.567 Z,2024-05-26,2024-08-21
198,967,prod-00662,526,22,"4,957521770957620",526,6430,2024-07-29,"8,984834806765490",55,"16,3590119255989",Frozen,462,backordered,16,2024-06-19 14:56:40.568 Z,2024-06-20,2024-10-21
308,717,prod-00662,3472,25,"1,645925721296290",3472,2584,2024-06-21,"31,366257264614000",29,"28,45335515823570",Temperature Controlled,481,in-stock,594,2024-03-23 14:56:40.568 Z,2024-01-02,2024-07-27
692,134,prod-00662,1379,42,"1,7532477434738600",1379,6745,2024-06-19,"25,839817996469300",20,"29,233358139243300",Ambient,126,in-stock,61,2024-07-25 14:56:40.571 Z,2024-02-13,2024-07-24
956,189,prod-00662,1049,22,"4,923104811627250",1049,9116,2024-09-29,"3,062636702621300",84,"11,36649396690900",Temperature Controlled,177,in-stock,708,2024-06-01 14:56:40.572 Z,2024-08-21,2024-12-15
