SEARCH_EVENT_ID,SESSION_ID,JOURNEY_ID,CART_ID,SEARCH_TERMS,SEARCH_RESULTS,SEARCH_TYPE,TIMESTAMP
79720615-9439-45c8-979b-e07a1f404053,8cdfe8e2-0a24-4a5a-9731-1e9b64adba96,20e6f540-0adf-47ac-9a23-f5aad05e498a,49c8240d-89a7-48d7-86f3-ef2a645cfad7,Avocat,89,product:grocery,2024-04-10 18:40:40.000000 UTC
3c7279cc-19d7-4992-9ae5-25012944f53c,bc1ad653-14fc-4a1f-8a35-e46d88324904,07dc90e5-3c3f-41cf-8315-58a8a07d5209_1722463545830,a5129c37-5e0b-4311-84ea-25771562ad2c,Backbacon,34,product,2024-05-17 23:53:28.000000 UTC
4ae0d519-7f52-42e0-a466-b91b814c68de,564ffab5-fe55-4c83-98ca-248b506cbaa5,56bcf7fe-1dfc-46a9-8122-e9506cb40a0e,ee0299b3-434b-4137-ba54-770fa9c39c80,Blister,9,product,2024-01-09 19:20:42.000000 UTC
1306c919-32a9-4c2a-b45d-9033d63d3b45,527dcb85-8bc2-4da5-b6c2-2c68f671df63,a35fff40-be29-43cc-a8c5-5449fb502d3c_1722465030212,49c8240d-89a7-48d7-86f3-ef2a645cfad7,Onion,368,product,2024-03-12 10:39:46.000000 UTC
51f5c999-ab93-4572-9d0e-0512cb589f9d,2143afcc-a87d-46de-bdd4-3f7187403e65,d7fbe1d0-86ae-4c87-8db3-5b49c1b2481b,e6112791-d0dd-43e7-9cfd-f72567a85eef,mayonnaise,328,product:grocery,2024-04-25 01:38:27.000000 UTC
2cfcf37b-2643-4631-b4d1-2059e67cbadc,85bf4dea-9568-4996-b345-4f08e4cf2cab,91942d63-c73d-48c6-a277-b0a01cf2ccc3,7d3cafe5-70c8-4929-9a46-e0caceddf518,Limes,37,product:grocery,2024-05-09 17:30:34.000000 UTC
4218869f-b352-4ae5-acce-3834aa2a881e,6662aae0-39ea-4c59-b71d-50542e3ac82b,a19df20b-6f3a-44de-8e86-be5c6c49a892,d7fbe1d0-86ae-4c87-8db3-5b49c1b2481b,Blister,36,product:grocery,2024-01-14 19:29:55.000000 UTC
f0ecc78d-2433-4472-8d6e-3cb34552b383,76f07daf-b85a-4bd1-9b28-bbc001264b7f,10d9be76-674c-4cc0-8aa3-2193734a96f9_1722535780701,9f778ede-6420-425e-a213-b044454bfe63_1722523664148,Hamburger,40,product,2024-04-09 08:01:58.000000 UTC
79dc9361-c0d2-41df-b34b-cc3a73c1b1ab,e10ee2b3-15b6-4727-af04-bb5c3c240668,188c572a-2a19-43ae-8a80-a00847001a33,4b035b60-0a9d-4ac2-9683-551780ab20d2,Red onion,832,product:grocery,2024-05-29 11:49:59.000000 UTC
b3cc11d4-5da2-4e00-8da6-db5ac9ca1079,77f6aa4f-58d4-4bbf-ad77-192c88faa984,325c0f40-1dfd-4611-a5ca-5584bb1b86dc,f0bf53a1-bc0c-490f-9b60-1cf2270e772e,Tylenol arthritis,1521,product:grocery,2024-04-13 11:10:45.000000 UTC
7798c014-40e4-4cbe-a3e1-2c71995ad1e8,03ff31d6-0795-4312-aa2a-f5da2806dc56,714336f6-8feb-48bd-942e-b7938b2745c6,e3555c40-fa6f-4fb9-8393-675349b0e791,"cheddar cheese bagel, 6 pack",58,product:grocery,2024-04-03 03:54:55.000000 UTC
9d422fb5-80bc-4965-b731-c6ecbdbd1b5f,803a33b8-6182-4a2d-bda8-a4188cb89437,7d3cafe5-70c8-4929-9a46-e0caceddf518,29c65442-cf37-4983-9bd6-3423d7f3fa7b,Spinach,5,product:grocery,2024-08-24 01:11:38.000000 UTC
ef895ff0-2806-4e1b-930c-7628fdf93a9a,85bf4dea-9568-4996-b345-4f08e4cf2cab,619e2f56-13e5-4d43-83c6-acb6ebf0ed0a,ee0299b3-434b-4137-ba54-770fa9c39c80,Seaweed,79,product,2024-02-05 14:07:16.000000 UTC
24fa4e55-6799-4c41-a649-8957e13e7e00,e178620a-d236-4c28-a8d3-7764c5e87bf8,a1f5db51-994f-4b5a-84f5-27d3a4481943,19ec4962-7474-4829-ab01-424831f403bd_1721342120149,Tylenol arthritis,89,product:grocery,2024-07-29 00:30:49.000000 UTC
f5eec80c-5496-4557-bd9f-fa27b0e53bea,fe31c7c1-0353-4351-a1df-a466ba15bb1d,a19df20b-6f3a-44de-8e86-be5c6c49a892,80811b28-1b3d-486d-87ee-ab53633eeb86,pc butter biscuits,48,product,2024-04-28 03:40:26.000000 UTC
c2d5d72f-5cb0-4d66-a0e3-0ec082a24cf5,22d660c3-1fcb-45f3-8a9a-43f4dba8c848,d3c42b4a-3e85-4e76-aee2-e999941c5620,e6112791-d0dd-43e7-9cfd-f72567a85eef,Bread,4,product:grocery,2024-06-23 14:44:08.000000 UTC
5398fcfd-f451-468f-8485-b98b0ac44ac2,fc74a897-0514-4eae-b1ec-cd73cd9bcb4e,fed0ae30-7ae2-484f-af69-58639950a791,9568edbd-bdb5-4f56-92f7-2214627a506c,Cornpop,107,product,2024-08-27 06:29:24.000000 UTC
03ff513a-0fb9-4ba5-8337-58b2f7bf4386,22d660c3-1fcb-45f3-8a9a-43f4dba8c848,56bcf7fe-1dfc-46a9-8122-e9506cb40a0e,91f5517c-b429-4e50-bb9e-a1b81130fcca,Black diamond cheese,58,product:grocery,2024-08-03 07:24:10.000000 UTC
