INVENTORY_ID,PRODUCT_ID,WAREHOUSE_ID,STOCK_LEVEL,RESTOCK_DATE,SUPPLIER_ID,STORAGE_CONDITION,INVENTORY_STATUS,LAST_AUDIT_DATE,REORDER_LEVEL,QUANTITY_IN_STOCK,RATING,SALES_VOLUME,WEIGHT,DISCOUNTS,SAFETY_STOCK,AVERAGE_MONTHLY_DEMAND,LAST_RESTOCK_DATE,NEXT_RESTOCK_DATE
1,prod-00370,25,3098,2024-02-11,83,Ambient,backordered,2024-03-25 14:56:40.567 Z,853,3098,"4,5498336471850700",3275,"21,93459722961820","26,064000421987600",347,800,2023-10-26,2024-05-09
2890,prod-00370,9,234,2024-03-13,100,Frozen,backordered,2024-04-28 14:56:40.582 Z,459,234,"3,0401306928136800",2641,"38,40896771105390","20,645172331607300",496,579,2023-11-16,2024-04-14
5421,prod-00370,19,3054,2024-07-12,68,Frozen,in-stock,2024-08-10 14:56:40.601 Z,153,3054,"1,2535776168926600",9559,"15,869334164229500","27,901627110127500",449,803,2024-02-04,2024-10-01
5428,prod-00370,11,3235,2024-03-03,87,Frozen,in-stock,2024-04-29 14:56:40.601 Z,449,3235,"4,549143258220520",3130,"7,0899035010440500","21,44533577859860",204,690,2023-10-12,2024-04-20
6090,prod-00370,28,3414,2024-10-27,4,Frozen,backordered,2024-08-03 14:56:40.607 Z,442,3414,"4,636673502273140",6234,"8,425355643659770","23,488597649030600",292,427,2024-05-19,2024-12-01
9422,prod-00370,49,4638,2024-04-02,26,Frozen,in-stock,2024-06-30 14:56:40.637 Z,157,4638,"2,465409344982430",6171,"14,482240327750900","4,275107545039350",334,816,2023-11-30,2024-05-06
9930,prod-00370,20,758,2024-01-12,81,Ambient,backordered,2024-08-05 14:56:40.642 Z,539,758,"1,507207428924150",7102,"2,9196977661222400","22,609104518989700",55,353,2023-10-25,2024-02-18
10038,prod-00370,16,2345,2024-07-07,45,Frozen,backordered,2024-04-06 14:56:40.643 Z,524,2345,"4,133405889561580",6002,"30,51533676122960","11,93720567799710",163,587,2024-01-30,2024-09-25
11184,prod-00370,6,4384,2024-02-11,98,Temperature Controlled,backordered,2024-07-29 14:56:40.652 Z,890,4384,"1,9395183832175500",2143,"8,883558561535940","0,6230327876728850",460,895,2023-11-09,2024-04-14
14213,prod-00370,5,2935,2024-01-31,75,Temperature Controlled,in-stock,2024-08-01 14:56:40.670 Z,678,2935,"1,0268205610645500",2671,"12,938304333170100","25,458549472059200",28,792,2023-10-17,2024-03-13
16687,prod-00370,29,120,2024-04-06,60,Ambient,backordered,2024-06-09 14:56:40.703 Z,535,120,"1,3891290890706700",30,"33,68837798035410","3,9841075500899600",205,646,2023-10-16,2024-06-29
2,prod-00662,46,649,2024-02-25,22,Temperature Controlled,in-stock,2024-06-19 14:56:40.567 Z,238,649,"3,3533629252489000",5327,"25,5940079978012","13,418388417966900",224,770,2023-10-22,2024-04-11
107,prod-00662,40,253,2024-07-17,37,Temperature Controlled,in-stock,2024-03-10 14:56:40.567 Z,988,253,"2,6864350958192800",1934,"14,619301203411300","15,379813064648600",398,922,2024-05-26,2024-08-21
198,prod-00662,22,526,2024-07-29,55,Frozen,backordered,2024-06-19 14:56:40.568 Z,967,526,"4,957521770957620",6430,"8,984834806765490","16,3590119255989",462,16,2024-06-20,2024-10-21
308,prod-00662,25,3472,2024-06-21,29,Temperature Controlled,in-stock,2024-03-23 14:56:40.568 Z,717,3472,"1,645925721296290",2584,"31,366257264614000","28,45335515823570",481,594,2024-01-02,2024-07-27
692,prod-00662,42,1379,2024-06-19,20,Ambient,in-stock,2024-07-25 14:56:40.571 Z,134,1379,"1,7532477434738600",6745,"25,839817996469300","29,233358139243300",126,61,2024-02-13,2024-07-24
956,prod-00662,22,1049,2024-09-29,84,Temperature Controlled,in-stock,2024-06-01 14:56:40.572 Z,189,1049,"4,923104811627250",9116,"3,062636702621300","11,36649396690900",177,708,2024-08-21,2024-12-15
1212,prod-00662,44,3038,2024-08-29,28,Frozen,backordered,2024-03-30 14:56:40.574 Z,937,3038,"3,012141303458610",9399,"2,813091469492720","3,9969676628644900",58,433,2024-06-05,2024-10-18
2270,prod-00662,40,4694,2024-08-28,7,Temperature Controlled,backordered,2024-08-25 14:56:40.579 Z,157,4694,"3,6601736964572100",8302,"7,610366861504810","9,164231605849710",388,20,2024-06-29,2024-11-04
2319,prod-00662,15,4840,2024-08-23,9,Temperature Controlled,in-stock,2024-05-22 14:56:40.579 Z,784,4840,"2,003907550962970",496,"45,23464928422280","25,956797622198300",467,259,2024-07-10,2024-10-16
5583,prod-00662,34,2952,2024-02-22,71,Ambient,backordered,2024-05-09 14:56:40.602 Z,924,2952,"1,7088702567257100",3022,"44,344585113786900","12,818948408089200",388,236,2023-09-01,2024-05-07
7031,prod-00662,10,2006,2024-08-16,95,Temperature Controlled,backordered,2024-07-24 14:56:40.615 Z,809,2006,"1,0337681268403000",9720,"29,563408141051000","26,626207634976000",97,773,2024-05-04,2024-10-07
8121,prod-00662,29,2477,2024-12-19,26,Temperature Controlled,in-stock,2024-03-26 14:56:40.625 Z,50,2477,"4,524807250757990",3779,"14,335910547721600","11,492347229465600",413,84,2024-09-25,2025-02-15
8897,prod-00662,31,1873,2024-10-12,50,Ambient,backordered,2024-06-13 14:56:40.632 Z,562,1873,"1,4382305779220300",9200,"26,59789530472940","17,491187329446200",364,23,2024-06-15,2024-11-25
11767,prod-00662,2,2481,2024-08-05,32,Ambient,in-stock,2024-04-09 14:56:40.656 Z,478,2481,"4,906659937920370",203,"27,77059253304490","7,648108520408600",197,641,2024-02-10,2024-09-20
14646,prod-00662,38,3911,2024-01-14,10,Ambient,backordered,2024-04-10 14:56:40.673 Z,998,3911,"2,1755825431982300",2389,"39,16746957692340","15,080692068964200",493,516,2023-11-03,2024-03-24
15527,prod-00662,12,2989,2024-07-23,90,Temperature Controlled,backordered,2024-08-11 14:56:40.678 Z,878,2989,"2,208273869391860",1235,"4,106542869599380","17,107910821403900",187,298,2024-05-11,2024-08-22
15533,prod-00662,35,1504,2024-06-08,94,Temperature Controlled,backordered,2024-07-07 14:56:40.678 Z,449,1504,"1,2887016948004000",3418,"5,976593463077530","10,23488061443270",166,868,2024-02-14,2024-07-09
16013,prod-00662,28,148,2024-06-02,73,Temperature Controlled,backordered,2024-07-05 14:56:40.681 Z,777,148,"2,1032152805530900",6226,"30,918747056270600","21,410901394158000",474,164,2024-03-05,2024-08-05
16178,prod-00662,50,3557,2024-08-29,45,Temperature Controlled,in-stock,2024-04-18 14:56:40.682 Z,705,3557,"4,018378637764890",4743,"45,01241184311890","22,575937036215700",458,337,2024-04-26,2024-10-03
