SEARCH_EVENT_ID,TIMESTAMP,COLLECTOR_TSTAMP,APP_ID,HAS_QV,HAS_PDP,HAS_ATC,HAS_PURCHASE,IMPRESSIONS_WITH_ATTRIBUTIONS,CART_ID,SESSION_ID,SEARCH_REQUEST_ID,SEARCH_RESULTS_COUNT,SEARCH_TERMS,SEARCH_FEATURE,SEARCH_TERMS_TYPE,SEARCH_TYPE,AES_HASH,DATE_LAST_LOGIN,DATE_LAST_PURCHASE,GROCERY_HOME_STORE_ID,LIFETIME_OFFLINE_ORDERS_COUNT,LIFETIME_ONLINE_ORDERS_COUNT,LOGIN_STATUS,USER_ID,REGISTRATION_STATUS,RX_HOME_STORE_ID,SHA256_HASH,BANNER,AUTO_LOCALIZED_STORE_ID,FULFILLMENT_TYPE,SELECTED_STORE_ID,SELECTED_TIMESLOT_DATE,SELECTED_TIMESLOT_TIME,SELECTED_TIMESLOT_TYPE,SHOPPING_MODE,DEVICE_CLASS,BR_VIEWWIDTH,BR_VIEWHEIGHT,DVCE_SCREENWIDTH,DVCE_SCREENHEIGHT,DOC_WIDTH,DOC_HEIGHT,MKT_MEDIUM,MKT_SOURCE,MKT_CONTENT,MKT_CAMPAIGN,BR_LANG,PAGE_LANGUAGE,GEO_COUNTRY,GEO_REGION,GEO_CITY,GEO_ZIPCODE,GEO_LATITUDE,GEO_LONGITUDE,GEO_TIMEZONE,SEARCH_MODEL,PRODUCT_ID
79041967-0065-49d6-a40b-a77781630d40,2024-08-22 22:12:03.000 Z,2024-09-09 01:24:28.462 Z,web-prod,false,true,true,true,"[
  {
    ""product_id"": ""prod-14723"",
    ""qv_event_id"": null,
    ""pdp_event_id"": ""f6cefca0-b797-4934-b02e-6607fcbaab89"",
    ""atc_event_id"": ""382ceaf3-2f29-4bdc-9380-67ece6d9fe9e"",
    ""purchase_event_id"": ""baa95009-cc79-4eee-a589-4732506863a6""
  }
]",417acea3-1016-470a-9e7e-d7a290661276_1721915086484,93bb7da1-90fe-4fb6-8232-9338373d9460,c6edf12b-c47c-46d8-a469-5bddf60b6c02,66,loreal eye cream,organic,type-ahead,product,,,2024-07-31,,222.0,334.0,logged_in,cf493e10-ef23-437a-9dfa-ce0209438a98,unknown,,fe4a375af922d7a79ab0715456a616538ce3dc978e37b6c28846382cfe8a16cb,nofrills,,courier,362.0,2024-08-01,11:00 - 11:30,,pcx-mode,Desktop,1488.0,1668.0,1284,960,1423.0,713.0,,,,,en,fr,CA,NB,Verdun,H7P,43.2657,-79.3186,America/St_Johns,Model E,prod-14723
04a5aa34-6463-4bb9-954d-aca5ab3704e8,2024-01-11 19:12:48.000 Z,2024-09-09 02:43:38.960 Z,web-prod,false,false,true,false,"[
  {
    ""product_id"": ""prod-16802"",
    ""qv_event_id"": null,
    ""pdp_event_id"": null,
    ""atc_event_id"": ""829bba60-e247-48f3-83f1-0347dafc57bd"",
    ""purchase_event_id"": null
  }
]",9a7b7e87-9ac4-4096-b74b-0d26274abee3,a89c1b02-909c-4fda-b4b2-652b06a263ec,d475e758-2009-4e7b-9ffe-1688fc364a4e,52,"cheddar cheese bagel, 6 pack",organic,type-ahead,product,,,2024-07-31,,222.0,334.0,logged_in,29602940-9d53-406f-a1eb-55b6f7ec862d,unknown,,267b3de25b2850c85e53769988df73e262dd0f7fcf86a89aa16202042519851a,nofrills,,delivery,353.0,2024-07-31,11:00 - 11:30,,pcx-mode,Mobile,2360.0,1536.0,1284,1640,1180.0,713.0,,,,,fr-CA,fr,CA,ON,London,K2J,46.5825,-75.5879,America/St_Johns,Model E,prod-16802
8274094e-a79b-4631-b8fc-1e66cd293a8f,2024-06-01 18:00:08.000 Z,2024-09-09 21:04:03.546 Z,web-prod,false,false,true,false,"[
  {
    ""product_id"": ""prod-07852"",
    ""qv_event_id"": null,
    ""pdp_event_id"": null,
    ""atc_event_id"": ""bd2a7126-0ec8-4ae8-a202-dbbb65b8fcf6"",
    ""purchase_event_id"": null
  }
]",e3555c40-fa6f-4fb9-8393-675349b0e791,fe31c7c1-0353-4351-a1df-a466ba15bb1d,8464a05a-7b03-42f8-a286-f4793c0168cf,25,dairy cheese,organic,manual-search,product,,,2024-07-31,,222.0,334.0,logged-in,6b1e4d6e-1839-4a91-99ab-c273b1723ae0,unknown,,fe4a375af922d7a79ab0715456a616538ce3dc978e37b6c28846382cfe8a16cb,fortinos,,courier,1024.0,2024-06-27,19:00 - 20:00,,pcx-mode,Desktop,2388.0,2266.0,2224,1536,1180.0,4838.0,,,,,en-CA,fr,GB,ON,Oakville,J3V,43.1987,-97.8220,Europe/London,Model E,prod-07852
4d688c69-ceee-4134-9486-f98a1dcfc050,2024-08-09 20:24:13.000 Z,2024-09-09 09:17:57.282 Z,ios-prod,false,true,false,true,"[
  {
    ""product_id"": ""prod-18246"",
    ""qv_event_id"": null,
    ""pdp_event_id"": ""090683e8-eca1-4175-adb7-e311dcfc2ca2"",
    ""atc_event_id"": null,
    ""purchase_event_id"": ""0195f25d-921c-4f23-bfc0-cdc5ccccbb2f""
  }
]",f0bf53a1-bc0c-490f-9b60-1cf2270e772e,95d6051e-a47e-416f-8994-086a7ba8b53a,d472f383-88a4-42d8-917a-3fa5960554c3,34,coleslaw dressing,multi-search,manual-search,product:grocery,,,2024-07-31,,222.0,334.0,logged_in,f9d90d3e-ddd5-4f91-8006-aa2f8ab23f87,unknown,,267b3de25b2850c85e53769988df73e262dd0f7fcf86a89aa16202042519851a,maxi,,courier,1127.0,2024-08-05,09:00 - 10:00,,pcx-mode,Desktop,960.0,2048.0,1170,2400,1180.0,4838.0,,,,,en,fr,GB,QC,Hanover,N5R,49.8637,-79.4141,America/St_Johns,Model C,prod-18246
c352d79e-cfcb-4d80-9fa7-a24f2bcd9df2,2024-08-19 06:02:44.000 Z,2024-09-09 21:38:15.464 Z,android-prod,false,true,true,true,"[
  {
    ""product_id"": ""prod-17752"",
    ""qv_event_id"": null,
    ""pdp_event_id"": ""bcc8bf19-2672-479f-9cc0-6d41905120a3"",
    ""atc_event_id"": ""f5c2df81-d9ec-4f45-bda3-750f28b7f99d"",
    ""purchase_event_id"": ""4ee7c1a8-9d00-4789-bd9c-707ccf78cb2a""
  }
]",a1f5db51-994f-4b5a-84f5-27d3a4481943,bc1ad653-14fc-4a1f-8a35-e46d88324904,8b1dc709-2c55-4fdf-a0d5-bd0256cd37b3,104,tortillas & wraps,multi-search,manual-search,product,,,2024-07-31,,222.0,334.0,not-logged-in,75215f7d-2ac6-49e6-8bf0-af081d3745ca,registered,,267b3de25b2850c85e53769988df73e262dd0f7fcf86a89aa16202042519851a,superstore,,courier,796.0,2024-07-30,17:00 - 17:30,,pcx-mode,Mobile,1668.0,2160.0,2048,1668,1180.0,713.0,,,,,en-GB,fr,CA,AB,Edmonton,T3G,51.8229,-80.5540,Europe/London,Model B,prod-17752
e5aa2c3c-2e24-43b1-afd2-09046c8eaa67,2024-04-30 19:52:58.000 Z,2024-09-09 01:18:14.280 Z,ios-prod,false,false,false,true,"[
  {
    ""product_id"": ""prod-08356"",
    ""qv_event_id"": null,
    ""pdp_event_id"": null,
    ""atc_event_id"": null,
    ""purchase_event_id"": ""fbe16c4a-7997-4446-827e-b09e43333aa3""
  }
]",a858a2c9-4135-4159-8452-948064781866_1722176173289,9c311dca-ded2-41ed-9706-9f4910ac92ae,45f1e975-151a-4ba8-9c09-8ce4dc39c044,884,Cheese,organic,manual-search,product,,,2024-07-31,,222.0,334.0,logged_in,143fb265-97ed-496a-8b08-c185324a7624,unknown,,fe4a375af922d7a79ab0715456a616538ce3dc978e37b6c28846382cfe8a16cb,fortinos,,courier,7234.0,2024-06-27,15:00 - 16:00,,pcx-mode,Desktop,1620.0,2048.0,960,1668,1180.0,4838.0,,,,,English,fr,US,ON,Saint-Bruno-de-Montarville,T6W,44.2492,-97.8220,America/Winnipeg,Model E,prod-08356
c5523ef2-ba36-4d08-b1b1-e54c4845b11f,2024-06-09 16:00:44.000 Z,2024-09-09 02:57:59.446 Z,android-prod,false,true,true,false,"[
  {
    ""product_id"": ""prod-16372"",
    ""qv_event_id"": null,
    ""pdp_event_id"": ""47f16589-88b8-49a3-8919-6f765e455436"",
    ""atc_event_id"": ""112f0340-4e27-46f6-b2c1-4750b6e369be"",
    ""purchase_event_id"": null
  }
]",6d130b6b-0997-44e3-aba6-8f1a5419a1dc_1722531952525,63d9721b-ba46-4a0d-9533-f56dc458ebd8,5f222b97-b8d5-4b0f-8a69-8d93318bd0a1,16,Ginger beer,alternate,manual-search,product:grocery,,,2024-07-31,,222.0,334.0,not-logged-in,bc19f959-c6f5-426a-bd3f-9820ca88f220,unknown,,267b3de25b2850c85e53769988df73e262dd0f7fcf86a89aa16202042519851a,fortinos,,delivery,1566.0,2024-08-01,12:30 - 13:30,,pcx-mode,Mobile,2224.0,713.0,1080,1180,1423.0,4838.0,,,,,English,en,US,ON,Elliot Lake,L3R,49.6463,-97.1693,America/Edmonton,Model B,prod-16372
00e60654-093a-4456-ae30-5e4b8dbe75bd,2024-01-10 00:08:11.000 Z,2024-09-09 18:12:16.352 Z,web-prod,false,false,true,true,"[
  {
    ""product_id"": ""prod-02044"",
    ""qv_event_id"": null,
    ""pdp_event_id"": null,
    ""atc_event_id"": ""6b72155d-638d-43c8-a535-92bb05022308"",
    ""purchase_event_id"": ""c76389b2-0967-4895-8d17-dbf958142f26""
  }
]",815291e3-a936-4969-9086-9d80684aa7bd,b758e756-e7cf-4968-8b86-23260875f7ec,41be51e0-4210-41f0-9f7d-30b95ddce567,94,Backbacon,alternate,manual-search,product:grocery,,,2024-07-31,,222.0,334.0,not-logged-in,613a60a1-7d81-42c7-a6c0-857802e38f38,registered,,fe4a375af922d7a79ab0715456a616538ce3dc978e37b6c28846382cfe8a16cb,maxi,,pickup,7293.0,2024-07-25,11:00 - 12:00,,pcx-mode,Desktop,1488.0,1640.0,1170,2400,1423.0,713.0,,,,,en-CA,en,CA,BKM,Wasaga Beach,N4N,46.8469,-123.1442,America/Halifax,Model C,prod-02044
ed68c008-3d28-448b-a3d6-c91d86e00cbb,2024-09-05 18:17:51.000 Z,2024-09-09 19:06:50.681 Z,android-prod,false,true,false,true,"[
  {
    ""product_id"": ""prod-05814"",
    ""qv_event_id"": null,
    ""pdp_event_id"": ""252b4c08-f30e-49d8-9295-57aa74714a90"",
    ""atc_event_id"": null,
    ""purchase_event_id"": ""1aeffc72-3462-402f-bca5-2b55712dc75c""
  }
]",417acea3-1016-470a-9e7e-d7a290661276_1721915086484,e481c236-58f6-4747-9890-ce4305e265db,2182d3bf-b956-4168-96c3-562194703773,17,oasis,multi-search,manual-search,product,,,2024-07-31,,222.0,334.0,not-logged-in,5d49a3eb-0d4d-42ef-af80-1ea69ddf223e,registered,,fe4a375af922d7a79ab0715456a616538ce3dc978e37b6c28846382cfe8a16cb,dominion,,pickup,1575.0,2024-07-30,09:00 - 09:30,,pcx-mode,Mobile,1284.0,2048.0,1640,1668,1423.0,4838.0,,,,,en,en,GB,NB,Edmonton,T5T,51.0857,-79.5964,Europe/London,Model B,prod-05814
a0cb1596-c778-4fc2-8341-b8640f2def78,2024-01-29 21:52:36.000 Z,2024-09-09 22:37:59.161 Z,ios-prod,false,false,true,false,"[
  {
    ""product_id"": ""prod-02935"",
    ""qv_event_id"": null,
    ""pdp_event_id"": null,
    ""atc_event_id"": ""80e63992-10e7-47b6-bb2a-b7971a6d76d8"",
    ""purchase_event_id"": null
  }
]",10d9be76-674c-4cc0-8aa3-2193734a96f9_1722535780701,6794ec49-ed01-4051-b7de-546ad5e3b89d,d7bc01d9-9a24-44d4-bce1-69363540dac2,328,Lactose free ice cream,alternate,type-ahead,product:grocery,,,2024-07-31,,222.0,334.0,logged-in,78ccb34a-2f44-4ef5-8edd-9a0a4d4147e8,registered,,fe4a375af922d7a79ab0715456a616538ce3dc978e37b6c28846382cfe8a16cb,maxi,,delivery,389.0,2024-08-06,09:00 - 09:30,,pcx-mode,Desktop,640.0,1536.0,1080,2048,1180.0,4838.0,,,,,English,fr,US,ON,Whitby,T4B,53.5185,-79.7626,America/Winnipeg,Model C,prod-02935
